Item Name/Number,Purchase Price,Vendor Purchase Price,NEW OP,Minimum Quantity
Apollo CS-3450,272,272,337.28,1
Apollo CS-3449,272,272,337.28,1
Apollo CS-3448,272,272,337.28,1
Apollo CS-3447,272,272,337.28,1
Apollo CS-3446,272,272,337.28,1
Apollo CS-3445,272,272,337.28,1
Apollo CS-3444,272,272,337.28,1
Apollo CS-3443,272,272,337.28,1
Apollo CS-3442,272,272,337.28,1
Apollo CS-3441,272,272,337.28,1
Apollo CS-3440,272,272,337.28,1
Apollo CS-3439,272,272,337.28,1
Apollo CS-3438,272,272,337.28,1
Apollo CS-3437,272,272,337.28,1
Apollo CS-3436,272,272,337.28,1
Apollo CS-3435,272,272,337.28,1
Apollo CS-3434,272,272,337.28,1
Apollo CS-3433,272,272,337.28,1
Apollo CS-3432,272,272,337.28,1
Apollo CS-3431,272,272,337.28,1
Apollo CS-3430,272,272,337.28,1
Apollo CS-3429,272,272,337.28,1
Apollo CS-3428,272,272,337.28,1
Apollo CS-3427,272,272,337.28,1
Apollo CS-3426,272,272,337.28,1
Apollo CS-3425,272,272,337.28,1
Apollo CS-3424,272,272,337.28,1
Apollo CS-3423,272,272,337.28,1
Apollo CS-3422,272,272,337.28,1
Apollo CS-3421,272,272,337.28,1
Apollo CS-3420,272,272,337.28,1
Apollo CS-3419,272,272,337.28,1
Apollo CS-3418,272,272,337.28,1
Apollo CS-3417,272,272,337.28,1
Apollo CS-3416,272,272,337.28,1
Apollo CS-3415,272,272,337.28,1
Apollo CS-3414,272,272,337.28,1
Apollo CS-3413,272,272,337.28,1
Apollo CS-3412,272,272,337.28,1
Apollo CS-3411,272,272,337.28,1
Apollo CS-3409,272,272,337.28,1
Apollo CS-2472,272,272,337.28,1
Apollo CS-2471,272,272,337.28,1
Apollo CS-2470,272,272,337.28,1
Apollo CS-2469,272,272,337.28,1
Apollo CS-2468,272,272,337.28,1
Apollo CS-2467,272,272,337.28,1
Apollo CS-2466,272,272,337.28,1
Apollo CS-2465,272,272,337.28,1
Apollo CS-2464,272,272,337.28,1
Apollo CS-2463,272,272,337.28,1
Apollo CS-2462,272,272,337.28,1
Apollo CS-0195,272,272,337.28,1
Apollo CS-0194,272,272,337.28,1
Apollo CS-0193,272,272,337.28,1
Apollo CS-0192,272,272,337.28,1
Apollo CS-0191,272,272,337.28,1
Apollo CS-0190,272,272,337.28,1
Apollo CS-0189,272,272,337.28,1
Apollo CS-0188,272,272,337.28,1
Apollo CS-0187,272,272,337.28,1
Apollo CS-0186,272,272,337.28,1
Apollo CS-0185,272,272,337.28,1
Apollo CS-0184,272,272,337.28,1
Apollo CS-0183,272,272,337.28,1
Apollo CS-0182,272,272,337.28,1
Apollo CS-0181,272,272,337.28,1
Apollo CS-0180,272,272,337.28,1
Apollo CS-0179,272,272,337.28,1
Apollo CS-0178,272,272,337.28,1
Apollo CS-0177,272,272,337.28,1
Apollo CS-0176,272,272,337.28,1
Apollo CS-0175,272,272,337.28,1
Apollo CS-0174,272,272,337.28,1
Apollo CS-0173,272,272,337.28,1
Apollo CS-0172,272,272,337.28,1
Apollo CS-0171,272,272,337.28,1
Apollo CS-0170,272,272,337.28,1
Apollo CS-0169,272,272,337.28,1
Apollo CS-0168,272,272,337.28,1
Apollo CS-0167,272,272,337.28,1
Apollo CS-0166,272,272,337.28,1
Apollo CS-0165,272,272,337.28,1
Apollo CS-0164,272,272,337.28,1
Apollo CS-0163,272,272,337.28,1
Apollo CS-0162,272,272,337.28,1
Apollo CS-0161,272,272,337.28,1
Apollo CS-0160,272,272,337.28,1
Apollo CS-0159,272,272,337.28,1
Apollo CS-0158,272,272,337.28,1
Apollo CS-0157,272,272,337.28,1
Apollo CS-0156,272,272,337.28,1
Apollo CS-0155,272,272,337.28,1
Apollo CS-0154,272,272,337.28,1
Apollo CS-0153,272,272,337.28,1
Apollo CS-0152,272,272,337.28,1
Apollo CS-0151,272,272,337.28,1
Apollo CS-0150,272,272,337.28,1
Apollo CS-0149,272,272,337.28,1
Apollo CS-0148,272,272,337.28,1
Apollo CS-0147,272,272,337.28,1
Apollo CS-0146,272,272,337.28,1
Apollo CS-0145,272,272,337.28,1
Apollo CS-0144,272,272,337.28,1
Apollo CS-0143,272,272,337.28,1
Apollo CS-0142,272,272,337.28,1
Apollo CS-0141,272,272,337.28,1
Apollo CS-0140,272,272,337.28,1
Apollo CS-0139,272,272,337.28,1
Apollo CS-0138,272,272,337.28,1
Apollo CS-0137,272,272,337.28,1
Apollo CS-0136,272,272,337.28,1
Apollo CS-0135,272,272,337.28,1
Apollo CS-0134,272,272,337.28,1
Apollo CS-0133,272,272,337.28,1
Apollo CS-0132,272,272,337.28,1
Apollo CS-0131,272,272,337.28,1
Apollo CS-0130,272,272,337.28,1
Apollo CS-0129,272,272,337.28,1
Apollo CS-0128,272,272,337.28,1
Apollo CS-0127,272,272,337.28,1
Apollo CS-0126,272,272,337.28,1
Apollo CS-0125,272,272,337.28,1
Apollo CS-0124,272,272,337.28,1
Apollo CS-0123,272,272,337.28,1
Apollo CS-0122,272,272,337.28,1
Apollo CS-0121,272,272,337.28,1
Apollo CS-0120,272,272,337.28,1
Apollo CS-0119,272,272,337.28,1
Apollo CS-0118,272,272,337.28,1
Apollo CS-0117,272,272,337.28,1
Apollo CS-0116,272,272,337.28,1
Apollo CS-0115,272,272,337.28,1
Apollo CS-0114,272,272,337.28,1
Apollo CS-0113,272,272,337.28,1
Apollo CS-0112,272,272,337.28,1
Apollo CS-0111,272,272,337.28,1
Apollo CS-0110,272,272,337.28,1
Apollo CS-0109,272,272,337.28,1
Apollo CS-0108,272,272,337.28,1
Apollo CS-0107,272,272,337.28,1
Apollo CS-0106,272,272,337.28,1
Apollo CS-0105,272,272,337.28,1
Apollo CS-0104,272,272,337.28,1
Apollo CS-0103,272,272,337.28,1
Apollo CS-0102,272,272,337.28,1
Apollo CS-0101,272,272,337.28,1
Apollo CS-0100,272,272,337.28,1
Apollo CS-0099,272,272,337.28,1
Apollo CS-0098,272,272,337.28,1
Apollo CS-0097,272,272,337.28,1
Apollo CS-0096,272,272,337.28,1
Apollo CS-0095,272,272,337.28,1
Apollo CS-0094,272,272,337.28,1
Apollo CS-0093,272,272,337.28,1
Apollo CS-0092,272,272,337.28,1
Apollo CS-0091,272,272,337.28,1
Apollo CS-0090,272,272,337.28,1
Apollo CS-0089,272,272,337.28,1
Apollo CS-0088,272,272,337.28,1
Apollo CS-0087,272,272,337.28,1
Apollo CS-0086,272,272,337.28,1
Apollo CS-0085,272,272,337.28,1
Apollo CS-0073,272,272,337.28,1
Apollo CS-0068,272,272,337.28,1
Apollo CS-0063,272,272,337.28,1
Apollo CS-0062,272,272,337.28,1
Apollo CS-0061,272,272,337.28,1
Apollo CS-0060,272,272,337.28,1
Apollo CS-0050,272,272,337.28,1
Apollo CS-0048,272,272,337.28,1
Apollo CS-0047,272,272,337.28,1
Apollo CS-0046,272,272,337.28,1
Apollo CS-0045,272,272,337.28,1
Apollo CS-0044,272,272,337.28,1
Apollo CS-0043,272,272,337.28,1
Apollo CS-0042,272,272,337.28,1
Apollo CS-0041,272,272,337.28,1
Apollo CS-0040,272,272,337.28,1
Apollo CS-0039,272,272,337.28,1
Apollo CS-0038,272,272,337.28,1
Apollo CS-0037,272,272,337.28,1
Apollo CS-0036,272,272,337.28,1
Apollo CS-0035,272,272,337.28,1
Apollo CS-0034,272,272,337.28,1
Apollo CS-0033,272,272,337.28,1
Apollo CS-0032,272,272,337.28,1
Apollo CS-0031,272,272,337.28,1
Apollo CS-0030,272,272,337.28,1
Apollo CS-0029,272,272,337.28,1
Apollo CS-0028,272,272,337.28,1
Apollo CS-0027,272,272,337.28,1
Apollo CS-0026,272,272,337.28,1
Apollo CS-0025,272,272,337.28,1
Apollo CS-0024,272,272,337.28,1
Apollo CS-0023,272,272,337.28,1
Apollo CS-0022,272,272,337.28,1
Apollo CS-0021,272,272,337.28,1
Apollo CS-0020,272,272,337.28,1
Apollo CS-0019,272,272,337.28,1
Apollo CS-0018,272,272,337.28,1
Apollo CS-0017,272,272,337.28,1
Apollo CS-0016,272,272,337.28,1
Apollo CS-0015,272,272,337.28,1
Apollo CS-0014,272,272,337.28,1
Apollo CS-0013,272,272,337.28,1
Apollo CS-0012,272,272,337.28,1
Apollo CS-0011,272,272,337.28,1
Apollo CS-0010,272,272,337.28,1
Apollo CS-0009,272,272,337.28,1
Apollo CS-0008,272,272,337.28,1
Apollo CS-0007,272,272,337.28,1
Apollo CS-0006,272,272,337.28,1
Apollo CS-0005,272,272,337.28,1
Apollo CS-0004,272,272,337.28,1
Apollo CS-0003,272,272,337.28,1
Apollo CS-0002,272,272,337.28,1
Apollo CS-0001,272,272,337.28,1
Apollo C3-0126,272,272,337.28,1
Apollo C3-0125,272,272,337.28,1
Apollo C3-0118,272,272,337.28,1
Apollo C3-0117,272,272,337.28,1
Apollo C3-0116,272,272,337.28,1
Apollo C3-0096,272,272,337.28,1
Apollo C3-0095,272,272,337.28,1
Apollo C3-0091,272,272,337.28,1
Apollo C3-0054,272,272,337.28,1
Apollo HE-2030-HE-2031,148,148,183.52,1
Apollo HE-2024-HE-2025,148,148,183.52,1
Apollo HE-2020-HE-2021,148,148,183.52,1
Apollo HE-2017,148,148,183.52,1
Apollo HE-2016,148,148,183.52,1
Apollo HE-2013-9,148,148,183.52,1
Apollo HE-2013-7,148,148,183.52,1
Apollo HE-2012-9,148,148,183.52,1
Apollo HE-2012-7,148,148,183.52,1
Apollo HE-2011-9,148,148,183.52,1
Apollo HE-2011-7,148,148,183.52,1
Apollo HE-2010-9,148,148,183.52,1
Apollo HE-2010-7,148,148,183.52,1
Apollo HE-2009,148,148,183.52,1
Apollo HE-2008,148,148,183.52,1
Apollo HE-2006,148,148,183.52,1
Apollo C2DS-8000,148,148,183.52,1
Apollo C2-1218,148,148,183.52,1
Apollo C2-1217,148,148,183.52,1
Apollo C2-1216,148,148,183.52,1
Apollo C2-1215,148,148,183.52,1
Apollo C2-1214,148,148,183.52,1
Apollo C2-1213,148,148,183.52,1
Apollo C2-1212,148,148,183.52,1
Apollo C2-1211,148,148,183.52,1
Apollo C2-1210,148,148,183.52,1
Apollo C2-1209,148,148,183.52,1
Apollo C2-1208,148,148,183.52,1
Apollo C2-1207,148,148,183.52,1
Apollo C2-1206,148,148,183.52,1
Apollo C2-1204,148,148,183.52,1
Apollo C2-1196,148,148,183.52,1
Apollo C2-1195,148,148,183.52,1
Apollo C2-1194,148,148,183.52,1
Apollo C2-1193,148,148,183.52,1
Apollo C2-1192,148,148,183.52,1
Apollo C2-1191,148,148,183.52,1
Apollo C2-1190,148,148,183.52,1
Apollo C2-1189,148,148,183.52,1
Apollo C2-1188,148,148,183.52,1
Apollo C2-1187,148,148,183.52,1
Apollo C2-1186,148,148,183.52,1
Apollo C2-1185,148,148,183.52,1
Apollo C2-1184,148,148,183.52,1
Apollo C2-1183,148,148,183.52,1
Apollo C2-1182,148,148,183.52,1
Apollo C2-1181,148,148,183.52,1
Apollo C2-1180,148,148,183.52,1
Apollo C2-1179,148,148,183.52,1
Apollo C2-1178,148,148,183.52,1
Apollo C2-1177,148,148,183.52,1
Apollo C2-1176,148,148,183.52,1
Apollo C2-1175,148,148,183.52,1
