NEW OP,Purchase Price,Item Name/Number,Vendor Purchase Price
505.00,378.75,Clear-Com TWC-701,378.75
505.00,404.00,Clear-Com CZ-BP340,404.00
515.00,386.25,Clear-Com FL-7,386.25
520.00,390.00,Clear-Com KB-702,390.00
520.00,390.00,Clear-Com KB-701,390.00
525.00,393.75,Clear-Com FSII-BASE-II-SW,393.75
535.00,401.25,Clear-Com HB-704,401.25
535.00,401.25,Clear-Com RS-702,401.25
545.00,408.75,Clear-Com RS-703,408.75
545.00,408.75,Clear-Com S-MOUNT,408.75
550.00,412.50,Clear-Com IC-100-6,412.50
570.00,456.00,Clear-Com 176G018,456.00
570.00,427.50,Clear-Com RS-801-IM,427.50
575.00,431.25,Clear-Com HMS-24-UG,431.25
655.00,491.25,Clear-Com KB-702GM,491.25
655.00,491.25,Clear-Com HLI-ET2,491.25
670.00,502.50,Clear-Com TW-47,502.50
675.00,506.25,Clear-Com AC60,506.25
785.00,628.00,Clear-Com CZ-WH301,628.00
805.00,644.00,Clear-Com CZ11440,644.00
815.00,611.25,Clear-Com RS-802-IM,611.25
820.00,615.00,Clear-Com KB-802GM-IM,615.00
820.00,656.00,Clear-Com CZ-WH340,656.00
855.00,598.50,Clear-Com YS2,598.50
860.00,645.00,Clear-Com SIP8-LQ,645.00
890.00,712.00,Clear-Com CZ11360,712.00
925.00,693.75,Clear-Com HLI-FBS,693.75
930.00,651.00,Clear-Com Y3R-TP,651.00
975.00,731.25,Clear-Com EF-701M,731.25
975.00,780.00,Clear-Com CZ11381,780.00
1080.00,810.00,Clear-Com AX-704,810.00
1090.00,817.50,Clear-Com PS-702,817.50
1090.00,872.00,Clear-Com CZ11434,872.00
1090.00,817.50,Clear-Com HLI-4W2,817.50
1090.00,817.50,Clear-Com HXII-BP-X4,817.50
1110.00,888.00,Clear-Com CZ-WH220,888.00
1130.00,904.00,Clear-Com CZ11517,904.00
1145.00,858.75,Clear-Com MA-704,858.75
1165.00,932.00,Clear-Com CZ11435,932.00
1180.00,944.00,Clear-Com CZ-WH410,944.00
1185.00,948.00,Clear-Com CZ-BP410,948.00
1200.00,900.00,Clear-Com HXII-BP-X5,900.00
1255.00,941.25,Clear-Com HLI-2W2,941.25
1365.00,1023.75,Clear-Com CS-702,1023.75
1380.00,1035.00,Clear-Com RM-702,1035.00
1380.00,1035.00,Clear-Com PS-704,1035.00
1400.00,1050.00,Clear-Com TW-12C,1050.00
1470.00,1102.50,Clear-Com IF4W4,1102.50
1505.00,1204.00,Clear-Com PTX3-19,1204.00
1505.00,1204.00,Clear-Com PTX3-21,1204.00
1595.00,1196.25,Clear-Com PIC-4744,1196.25
1605.00,1203.75,Clear-Com MS-702,1203.75
1635.00,1226.25,Clear-Com AB-120,1226.25
1675.00,1256.25,Clear-Com RM-704,1256.25
1695.00,1271.25,Clear-Com HKB-2X,1271.25
1730.00,1384.00,Clear-Com CZ11400,1384.00
1865.00,1398.75,Clear-Com FSII-TCVR-19-US,1398.75
1865.00,1398.75,Clear-Com FSII-TCVR-24,1398.75
2040.00,1530.00,Clear-Com FSII-BP19,1530.00
2165.00,1732.00,Clear-Com CZ11461,1732.00
2180.00,1635.00,Clear-Com MS-802-IM,1635.00
2250.00,1687.50,Clear-Com FSII-SPL,1687.50
2310.00,1732.50,Clear-Com FSII-BP19-X4-O2-US,1732.50
2310.00,1732.50,Clear-Com FSII-BP24-X4-O2,1732.50
2405.00,1803.75,Clear-Com MS-704,1803.75
2545.00,1781.50,Clear-Com YG2,1781.50
2605.00,1953.75,Clear-Com LQ-4W2,1953.75
2605.00,1953.75,Clear-Com LQ-2W2,1953.75
2670.00,2002.50,Clear-Com LQ-4WG2,2002.50
2785.00,2088.75,Clear-Com HRM-4X,2088.75
2950.00,2212.50,Clear-Com IKB-12P,2212.50
2950.00,2212.50,Clear-Com HRI-12B,2212.50
3040.00,2432.00,Clear-Com CZ11465,2432.00
3160.00,2370.00,Clear-Com SB-704,2370.00
3300.00,2475.00,Clear-Com AGENT-IC8-LQ,2475.00
3305.00,2644.00,Clear-Com CZ11462,2644.00
3390.00,2542.50,Clear-Com FSII-TCVR-IP-19-US,2542.50
3635.00,2726.25,Clear-Com FSII-BASE-II-25BP-LICENSE,2726.25
3825.00,2868.75,Clear-Com RCS-2700,2868.75
4135.00,2894.50,Clear-Com PG8-8LI-TP,2894.50
4300.00,3010.00,Clear-Com PG8-8LO-TP,3010.00
4555.00,3416.25,Clear-Com LQ-R2W4,3416.25
4645.00,3251.50,Clear-Com PG8-8MI-TP,3251.50
4870.00,3409.00,Clear-Com PG4-INTERCOM-CC-FX,3409.00
4870.00,3409.00,Clear-Com PG4-INTERCOM-485-FX,3409.00
4870.00,3409.00,Clear-Com PG4-INTERCOM-444-FX,3409.00
4910.00,3682.50,Clear-Com HMS-4X,3682.50
5370.00,4027.50,Clear-Com LQ-R4WG8,4027.50
5385.00,4308.00,Clear-Com CZ-BS410,4308.00
5405.00,3783.50,Clear-Com PG16-8AE-SRC-FX,3783.50
5440.00,3808.00,Clear-Com PG8-8LI-FX,3808.00
5610.00,3927.00,Clear-Com PG8-8LO-FX,3927.00
5640.00,4230.00,Clear-Com LQ-R4W8,4230.00
5640.00,4230.00,Clear-Com LQ-R2W4-4W4,4230.00
5640.00,4230.00,Clear-Com LQ-R2W4-4WG4,4230.00
5715.00,4000.50,Clear-Com PG2-MADI-F-FX,4000.50
5715.00,4000.50,Clear-Com PG2-MADI-C-FX,4000.50
5725.00,4007.50,Clear-Com PG16-16LI-TP,4007.50
5890.00,4123.00,Clear-Com PG32-AES-FX,4123.00
5895.00,4126.50,Clear-Com PG16-8LI-8LO-TP,4126.50
5900.00,4130.00,Clear-Com PG8-INTERCOM-CC-FX,4130.00
5900.00,4130.00,Clear-Com PG8-INTERCOM-485-FX,4130.00
5900.00,4130.00,Clear-Com PG8-INTERCOM-444-FX,4130.00
5955.00,4168.50,Clear-Com PG8-8MI-FX,4168.50
6110.00,4888.00,Clear-Com CZ11383,4888.00
6235.00,4364.50,Clear-Com PG16-8MI-8LI-TP,4364.50
6400.00,4480.00,Clear-Com PG16-8MI-8LO-TP,4480.00
6750.00,4725.00,Clear-Com PG16-16MI-TP,4725.00
7000.00,5600.00,Clear-Com CZ11433,5600.00
7020.00,4914.00,Clear-Com PG16-16LI-FX,4914.00
